iter	Passed	Remaining
0	172	172235
1	204	102187
2	234	78002
3	255	63555
4	270	53829
5	284	47156
6	322	45803
7	358	44507
8	377	41529
9	402	39810
10	423	38050
11	444	36613
12	462	35132
13	484	34120
14	502	32978
15	522	32136
16	539	31210
17	557	30389
18	574	29670
19	592	29031
20	608	28364
21	623	27726
22	638	27132
23	652	26548
24	667	26019
25	681	25527
26	695	25070
27	711	24702
28	725	24307
29	739	23917
30	753	23556
31	768	23260
32	784	22981
33	799	22711
34	813	22424
35	827	22159
36	841	21901
37	856	21685
38	870	21442
39	885	21249
40	904	21157
41	919	20980
42	934	20804
43	957	20793
44	975	20702
45	991	20570
46	1008	20439
47	1023	20309
48	1039	20175
49	1055	20060
50	1071	19943
51	1110	20236
52	1156	20671
53	1199	21015
54	1227	21097
55	1276	21512
56	1322	21872
57	1367	22215
58	1397	22292
59	1434	22475
60	1452	22352
61	1468	22219
62	1484	22085
63	1501	21954
64	1521	21883
65	1539	21792
66	1557	21685
67	1574	21582
68	1590	21459
69	1607	21361
70	1625	21266
71	1640	21139
72	1657	21049
73	1679	21016
74	1696	20926
75	1714	20839
76	1737	20825
77	1753	20725
78	1767	20610
79	1782	20497
80	1796	20382
81	1812	20295
82	1827	20187
83	1841	20079
84	1855	19973
85	1870	19875
86	1884	19774
87	1898	19680
88	1913	19582
89	1927	19490
90	1942	19399
91	1956	19307
92	1971	19228
93	1986	19147
94	2000	19060
95	2015	18980
96	2029	18893
97	2044	18813
98	2058	18736
99	2073	18661
100	2087	18585
101	2102	18506
102	2116	18431
103	2131	18360
104	2146	18293
105	2160	18219
106	2174	18151
107	2188	18076
108	2203	18011
109	2217	17944
110	2232	17880
111	2246	17812
112	2260	17746
113	2275	17682
114	2289	17620
115	2304	17559
116	2318	17500
117	2333	17445
118	2348	17388
119	2363	17331
120	2378	17280
121	2393	17223
122	2407	17163
123	2422	17111
124	2436	17056
125	2451	17002
126	2465	16948
127	2479	16893
128	2493	16838
129	2508	16787
130	2522	16732
131	2536	16680
132	2550	16626
133	2564	16570
134	2578	16519
135	2592	16467
136	2608	16430
137	2621	16376
138	2636	16329
139	2650	16281
140	2664	16235
141	2678	16186
142	2692	16136
143	2708	16097
144	2721	16050
145	2736	16008
146	2751	15963
147	2765	15918
148	2779	15873
149	2794	15833
150	2810	15801
151	2827	15772
152	2843	15738
153	2857	15698
154	2871	15655
155	2885	15612
156	2900	15572
157	2914	15531
158	2929	15492
159	2943	15453
160	2957	15413
161	2972	15376
162	2986	15335
163	3001	15299
164	3015	15259
165	3029	15219
166	3043	15179
167	3059	15152
168	3073	15112
169	3088	15076
170	3102	15038
171	3116	15001
172	3129	14962
173	3144	14926
174	3158	14890
175	3172	14852
176	3186	14818
177	3201	14785
178	3216	14752
179	3230	14715
180	3244	14680
181	3258	14645
182	3273	14613
183	3287	14577
184	3301	14544
185	3316	14513
186	3330	14478
187	3344	14445
188	3358	14409
189	3372	14378
190	3386	14345
191	3401	14312
192	3417	14288
193	3433	14264
194	3450	14244
195	3466	14220
196	3481	14189
197	3495	14159
198	3509	14127
199	3526	14105
200	3540	14073
201	3555	14044
202	3569	14014
203	3583	13983
204	3599	13958
205	3616	13938
206	3631	13913
207	3646	13884
208	3661	13857
209	3675	13827
210	3691	13801
211	3704	13770
212	3718	13740
213	3733	13711
214	3749	13688
215	3763	13658
216	3776	13628
217	3791	13598
218	3805	13571
219	3818	13539
220	3834	13514
221	3854	13508
222	3871	13489
223	3887	13466
224	3903	13443
225	3916	13412
226	3931	13387
227	3945	13360
228	3959	13332
229	3974	13304
230	3988	13276
231	4003	13251
232	4017	13224
233	4032	13200
234	4046	13173
235	4061	13149
236	4076	13124
237	4091	13100
238	4105	13073
239	4120	13046
240	4133	13018
241	4148	12993
242	4163	12969
243	4177	12943
244	4191	12917
245	4205	12891
246	4220	12866
247	4234	12839
248	4248	12813
249	4262	12786
250	4276	12760
251	4290	12735
252	4304	12709
253	4318	12684
254	4333	12659
255	4347	12633
256	4361	12608
257	4375	12583
258	4389	12559
259	4405	12538
260	4420	12515
261	4435	12492
262	4449	12467
263	4463	12444
264	4478	12420
265	4493	12398
266	4507	12374
267	4522	12351
268	4536	12327
269	4551	12304
270	4565	12281
271	4579	12256
272	4593	12232
273	4607	12208
274	4624	12192
275	4641	12174
276	4656	12154
277	4671	12133
278	4685	12109
279	4700	12087
280	4715	12065
281	4729	12042
282	4743	12019
283	4758	11995
284	4772	11973
285	4787	11951
286	4801	11927
287	4816	11906
288	4830	11884
289	4845	11862
290	4859	11839
291	4874	11818
292	4888	11796
293	4903	11775
294	4917	11753
295	4932	11731
296	4946	11708
297	4961	11686
298	4975	11665
299	4989	11643
300	5004	11621
301	5018	11598
302	5033	11577
303	5047	11556
304	5062	11535
305	5076	11512
306	5090	11492
307	5105	11470
308	5119	11447
309	5133	11426
310	5148	11405
311	5162	11383
312	5177	11363
313	5191	11342
314	5205	11320
315	5219	11298
316	5234	11277
317	5248	11255
318	5262	11234
319	5277	11214
320	5291	11193
321	5306	11172
322	5320	11151
323	5336	11133
324	5350	11111
325	5364	11090
326	5378	11069
327	5392	11048
328	5407	11028
329	5421	11008
330	5436	10988
331	5452	10970
332	5466	10949
333	5482	10931
334	5496	10911
335	5511	10891
336	5525	10869
337	5539	10849
338	5553	10829
339	5568	10809
340	5582	10788
341	5597	10768
342	5612	10750
343	5626	10729
344	5640	10709
345	5655	10690
346	5669	10670
347	5683	10649
348	5698	10630
349	5713	10610
350	5727	10590
351	5741	10569
352	5756	10551
353	5771	10531
354	5785	10512
355	5799	10491
356	5813	10471
357	5828	10451
358	5842	10431
359	5856	10411
360	5870	10391
361	5885	10373
362	5900	10354
363	5914	10334
364	5929	10315
365	5943	10296
366	5958	10276
367	5974	10260
368	5988	10240
369	6003	10221
370	6017	10201
371	6031	10182
372	6045	10162
373	6060	10143
374	6074	10124
375	6088	10104
376	6102	10085
377	6117	10067
378	6132	10048
379	6151	10036
380	6168	10021
381	6185	10007
382	6204	9994
383	6221	9979
384	6238	9964
385	6256	9951
386	6275	9939
387	6292	9926
388	6309	9910
389	6326	9895
390	6342	9879
391	6357	9860
392	6372	9842
393	6388	9825
394	6402	9806
395	6416	9787
396	6430	9767
397	6445	9748
398	6459	9730
399	6473	9710
400	6487	9691
401	6504	9675
402	6518	9656
403	6532	9636
404	6546	9617
405	6561	9599
406	6575	9580
407	6591	9564
408	6605	9545
409	6620	9527
410	6635	9509
411	6650	9491
412	6664	9471
413	6677	9452
414	6692	9433
415	6706	9414
416	6720	9396
417	6734	9377
418	6749	9358
419	6763	9339
420	6777	9321
421	6792	9303
422	6807	9285
423	6821	9267
424	6835	9247
425	6849	9229
426	6863	9210
427	6878	9192
428	6893	9174
429	6907	9156
430	6922	9138
431	6937	9121
432	6951	9102
433	6966	9084
434	6980	9066
435	6994	9048
436	7009	9031
437	7025	9014
438	7039	8995
439	7053	8977
440	7068	8959
441	7082	8941
442	7096	8923
443	7110	8904
444	7125	8886
445	7139	8868
446	7153	8850
447	7168	8832
448	7182	8814
449	7196	8795
450	7210	8777
451	7224	8759
452	7238	8740
453	7253	8722
454	7266	8704
455	7281	8687
456	7296	8668
457	7310	8650
458	7324	8633
459	7339	8616
460	7354	8598
461	7368	8580
462	7384	8564
463	7404	8553
464	7420	8537
465	7434	8519
466	7449	8501
467	7462	8483
468	7477	8465
469	7491	8448
470	7506	8430
471	7521	8413
472	7536	8396
473	7550	8378
474	7565	8361
475	7580	8344
476	7594	8326
477	7608	8309
478	7623	8292
479	7638	8274
480	7653	8257
481	7667	8239
482	7681	8222
483	7695	8204
484	7709	8186
485	7724	8169
486	7738	8151
487	7753	8134
488	7767	8117
489	7782	8099
490	7795	8081
491	7810	8064
492	7824	8047
493	7841	8032
494	7856	8015
495	7871	7998
496	7886	7981
497	7900	7963
498	7914	7946
499	7928	7928
500	7942	7910
501	7956	7893
502	7970	7875
503	7985	7858
504	7999	7841
505	8014	7824
506	8028	7806
507	8044	7791
508	8059	7774
509	8074	7757
510	8089	7740
511	8104	7724
512	8119	7708
513	8135	7692
514	8150	7675
515	8164	7658
516	8178	7640
517	8192	7623
518	8207	7606
519	8221	7589
520	8236	7572
521	8250	7554
522	8265	7538
523	8279	7521
524	8294	7504
525	8309	7488
526	8323	7470
527	8337	7453
528	8352	7436
529	8366	7418
530	8380	7402
531	8394	7385
532	8410	7369
533	8424	7352
534	8439	7335
535	8454	7318
536	8468	7301
537	8482	7284
538	8496	7267
539	8510	7249
540	8528	7235
541	8545	7220
542	8561	7205
543	8576	7189
544	8590	7171
545	8606	7156
546	8621	7139
547	8635	7123
548	8649	7105
549	8665	7089
550	8679	7072
551	8694	7056
552	8708	7039
553	8722	7021
554	8736	7005
555	8750	6988
556	8764	6970
557	8779	6954
558	8793	6937
559	8808	6920
560	8822	6904
561	8837	6887
562	8853	6872
563	8870	6857
564	8884	6840
565	8899	6823
566	8915	6808
567	8930	6791
568	8944	6775
569	8960	6759
570	8974	6742
571	8989	6726
572	9003	6709
573	9018	6693
574	9032	6676
575	9047	6660
576	9061	6643
577	9078	6628
578	9093	6612
579	9110	6597
580	9125	6581
581	9140	6564
582	9160	6552
583	9175	6535
584	9191	6520
585	9208	6505
586	9225	6491
587	9243	6476
588	9260	6461
589	9277	6447
590	9295	6432
591	9312	6417
592	9329	6403
593	9346	6388
594	9363	6373
595	9381	6359
596	9398	6344
597	9416	6330
598	9433	6315
599	9451	6300
600	9468	6285
601	9484	6270
602	9501	6255
603	9518	6240
604	9535	6225
605	9552	6210
606	9569	6195
607	9587	6181
608	9604	6166
609	9622	6152
610	9639	6137
611	9657	6122
612	9674	6107
613	9691	6092
614	9709	6078
615	9726	6063
616	9743	6048
617	9760	6033
618	9778	6018
619	9796	6004
620	9847	6009
621	9869	5997
622	9883	5980
623	9897	5963
624	9911	5946
625	9925	5930
626	9940	5913
627	9954	5896
628	9967	5879
629	9982	5862
630	9996	5846
631	10011	5829
632	10025	5812
633	10038	5795
634	10053	5778
635	10067	5762
636	10082	5745
637	10097	5729
638	10112	5712
639	10127	5696
640	10142	5680
641	10156	5663
642	10171	5647
643	10186	5631
644	10202	5615
645	10215	5598
646	10230	5581
647	10244	5564
